well,condition,day,method,t,dy,dx,post_corr,overlap
F05,PLD3_TMEM106B_mCherry_primary,16,A_cli,2,0.0,435.3,0.004694775376043538,0.8482217573221756
F05,PLD3_TMEM106B_mCherry_primary,20,A_cli,3,0.0,-491.8,-0.005161250574292727,0.8285216178521617
F05,PLD3_TMEM106B_mCherry_primary,25,A_cli,4,-1020.2,0.0,-0.00010978931701095521,0.6442817294281729
F05,PLD3_TMEM106B_mCherry_primary,29,A_cli,5,-103.7,0.0,0.002131549096746388,0.96384239888424
F05,PLD3_TMEM106B_mCherry_primary,32,A_cli,6,-273.5,0.0,0.009866262918525798,0.9046373779637378
F05,PLD3_TMEM106B_mCherry_primary,36,A_cli,7,0.0,-993.6,0.005189203866617594,0.6535564853556486
F05,PLD3_TMEM106B_mCherry_primary,39,A_cli,8,1303.7,0.0,-0.002653437824404881,0.5454323570432357
F05,PLD3_TMEM106B_mCherry_primary,8,B_pilot,0,0.0,0.0,1.0,1.0
F05,PLD3_TMEM106B_mCherry_primary,12,B_pilot,1,-41.0,-104.0,0.18054032000398315,0.9499605126738755
F05,PLD3_TMEM106B_mCherry_primary,16,B_pilot,2,-30.0,-29.0,0.15174673516629578,0.979533942566365
F05,PLD3_TMEM106B_mCherry_primary,20,B_pilot,3,-10.0,-116.0,0.11630766843223789,0.9562079717714248
F05,PLD3_TMEM106B_mCherry_primary,25,B_pilot,4,77.0,0.0,0.07957409289106555,0.9731520223152023
F05,PLD3_TMEM106B_mCherry_primary,29,B_pilot,5,58.0,-16.0,0.07255239557579958,0.974310868351589
F05,PLD3_TMEM106B_mCherry_primary,32,B_pilot,6,511.0,-128.0,0.04719199100317966,0.7851485832219713
F05,PLD3_TMEM106B_mCherry_primary,36,B_pilot,7,1194.0,-1400.0,0.00954376312159338,0.2987605259011572
F05,PLD3_TMEM106B_mCherry_primary,39,B_pilot,8,-966.0,1553.0,0.01673014042141851,0.30407307878596895
F05,PLD3_TMEM106B_mCherry_primary,8,stable_subpixel,0,0.0,0.0,1.0,1.0
F05,PLD3_TMEM106B_mCherry_primary,12,stable_subpixel,1,-0.9,920.95,-0.006763873106746982,0.6786746865571914
F05,PLD3_TMEM106B_mCherry_primary,16,stable_subpixel,2,-1.0,0.05,0.020533010542376873,0.9996338972921031
F05,PLD3_TMEM106B_mCherry_primary,20,stable_subpixel,3,920.95,1.0,-0.0007811678828145051,0.6786510154370157
F05,PLD3_TMEM106B_mCherry_primary,25,stable_subpixel,4,-1.0,921.05,-0.004264585402862335,0.678616160090957
F05,PLD3_TMEM106B_mCherry_primary,29,stable_subpixel,5,0.0,-921.0,0.0010824422425946823,0.6788702928870293
F05,PLD3_TMEM106B_mCherry_primary,32,stable_subpixel,6,-0.1,0.0,0.0064851391642639965,0.9999651324965133
F05,PLD3_TMEM106B_mCherry_primary,36,stable_subpixel,7,919.0,922.0,-0.004098659595055513,0.4611013365390039
F05,PLD3_TMEM106B_mCherry_primary,39,stable_subpixel,8,-0.2,0.1,-0.00030070489109509674,0.9998953999210255
I05,PLD3_mCherry_reporter_control,8,A_cli,0,0.0,0.0,1.0,1.0
I05,PLD3_mCherry_reporter_control,12,A_cli,1,-546.7,0.0,0.010026666593993191,0.8093793584379358
I05,PLD3_mCherry_reporter_control,16,A_cli,2,1089.2,0.0,-0.003751840355378224,0.6202231520223151
I05,PLD3_mCherry_reporter_control,20,A_cli,3,794.9,0.0,-0.006757247369780065,0.7228382147838215
I05,PLD3_mCherry_reporter_control,25,A_cli,4,844.0,0.0,-0.003252380826977287,0.705718270571827
I05,PLD3_mCherry_reporter_control,29,A_cli,5,0.0,-276.6,0.0040648780060583,0.9035564853556486
I05,PLD3_mCherry_reporter_control,32,A_cli,6,0.0,-1383.6,0.00908865532029708,0.5175732217573222
I05,PLD3_mCherry_reporter_control,36,A_cli,7,-115.9,0.0,0.008673153411676777,0.9595885634588563
I05,PLD3_mCherry_reporter_control,39,A_cli,8,1145.0,0.0,-0.00429369386447882,0.6007670850767085
I05,PLD3_mCherry_reporter_control,8,B_pilot,0,0.0,0.0,1.0,1.0
I05,PLD3_mCherry_reporter_control,12,B_pilot,1,-41.0,-76.0,0.17102809934654672,0.9595838463767947
I05,PLD3_mCherry_reporter_control,16,B_pilot,2,-29.0,-22.0,0.15655670911820474,0.982295137612359
I05,PLD3_mCherry_reporter_control,20,B_pilot,3,-9.0,-83.0,0.1285332918554353,0.9680127127793048
I05,PLD3_mCherry_reporter_control,25,B_pilot,4,74.0,0.0,0.09234606334783403,0.9741980474198048
I05,PLD3_mCherry_reporter_control,29,B_pilot,5,58.0,-21.0,0.07335788389018853,0.972602749718434
I05,PLD3_mCherry_reporter_control,32,B_pilot,6,504.0,-99.0,0.05110189344733782,0.7958150242467744
I05,PLD3_mCherry_reporter_control,36,B_pilot,7,-49.0,-123.0,0.050140152838173295,0.940760622187987
I05,PLD3_mCherry_reporter_control,39,B_pilot,8,749.0,1391.0,0.013325837575502104,0.3804986831073997
I05,PLD3_mCherry_reporter_control,8,stable_subpixel,0,0.0,0.0,1.0,1.0
I05,PLD3_mCherry_reporter_control,12,stable_subpixel,1,-1300.05,-2.0,0.017431858256189176,0.5463237761360388
I05,PLD3_mCherry_reporter_control,16,stable_subpixel,2,0.0,-0.2,0.011274545331205978,0.9999302649930265
I05,PLD3_mCherry_reporter_control,20,stable_subpixel,3,0.3,0.0,0.0036587465560725383,0.9998953974895397
I05,PLD3_mCherry_reporter_control,25,stable_subpixel,4,-0.2,0.0,0.0014072494787299558,0.9999302649930265
I05,PLD3_mCherry_reporter_control,29,stable_subpixel,5,-921.0,-0.95,0.010207758957845238,0.6786454230201386
I05,PLD3_mCherry_reporter_control,32,stable_subpixel,6,0.0,-0.1,0.0013963538817703717,0.9999651324965133
I05,PLD3_mCherry_reporter_control,36,stable_subpixel,7,-1280.65,-1.0,0.01099147838628063,0.5532763356636692
