video_rank,well,neuron_id,manual_identity,manual_single_soma,manual_roi_quality,manual_puncta_display,manual_diffuse_display,final_manual_status,manual_notes,valid_days,mean_template_match_score,fixed_support_area,tracking_valid_days_original,adaptive_valid_days_recomputed,identity_core_area,phenotype_roi_area,identity_consensus_fraction,identity_consensus_required,identity_valid_masks_used,phenotype_dilation_px,single_soma_pass,secondary_soma_score,secondary_soma_distance_px,secondary_soma_area_ratio,secondary_peak_ratio,candidate_peaks_detected,auto_phenotype_use,phenotype_video,identity_qc_png
12,I05,I05_N059,,,,,,,,9,0.8981860014711757,1026,9,4,408,554,0.6,3,4,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/I05_N059_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/I05_N059_tight_identity_qc.png
13,I05,I05_N042,,,,,,,,9,0.8967694568118248,473,9,9,299,415,0.6,6,9,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/I05_N042_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/I05_N042_tight_identity_qc.png
14,I05,I05_N023,,,,,,,,9,0.8958836745171717,651,9,6,367,499,0.6,4,6,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/I05_N023_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/I05_N023_tight_identity_qc.png
15,F05,F05_N008,,,,,,,,9,0.8920811047810533,733,9,7,389,527,0.6,5,7,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/F05_N008_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/F05_N008_tight_identity_qc.png
16,E05,E05_N033,,,,,,,,9,0.8901257174800234,772,9,6,477,633,0.6,4,6,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/E05_N033_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/E05_N033_tight_identity_qc.png
17,M05,M05_N059,,,,,,,,9,0.8860698792531021,574,9,7,325,451,0.6,5,7,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/M05_N059_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/M05_N059_tight_identity_qc.png
18,N05,N05_N011,,,,,,,,9,0.8829832080106429,447,9,9,230,338,0.6,6,9,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/N05_N011_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/N05_N011_tight_identity_qc.png
19,N05,N05_N034,,,,,,,,9,0.8816390401983165,822,9,5,415,559,0.6,3,5,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/N05_N034_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/N05_N034_tight_identity_qc.png
20,M05,M05_N019,,,,,,,,9,0.8782944001754255,726,9,9,478,624,0.6,6,9,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/M05_N019_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/M05_N019_tight_identity_qc.png
21,N05,N05_N048,,,,,,,,9,0.8766731716862461,1524,9,6,734,968,0.6,4,6,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/N05_N048_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/N05_N048_tight_identity_qc.png
22,J05,J05_N026,,,,,,,,9,0.8736887060532499,792,9,9,500,650,0.6,6,9,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/J05_N026_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/J05_N026_tight_identity_qc.png
23,F05,F05_N024,,,,,,,,9,0.8723863451281597,2254,9,4,999,1367,0.6,3,4,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/F05_N024_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/F05_N024_tight_identity_qc.png
24,M05,M05_N067,,,,,,,,9,0.8702235670701375,673,9,8,422,562,0.6,5,8,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/M05_N067_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/M05_N067_tight_identity_qc.png
25,F05,F05_N025,,,,,,,,9,0.8656524144228153,507,9,9,304,434,0.6,6,9,2,True,0.0,,0.0,0.0,1,ELIGIBLE_FOR_MANUAL_REVIEW,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/F05_N025_phenotype_audit.mp4,/data/rodriguezmak/tmem106b/share/TMEM106B_neuron_atlas_curated_v1_20260831/04_VIDEOS/phenotype_top25_d2/F05_N025_tight_identity_qc.png
