well,condition,timepoint_day,registration_channel,estimated_y_shift,estimated_x_shift,pre_registration_correlation,post_registration_correlation,overlap_fraction,registration_error,qc_pass,large_shift,reanchored,anchor_ref_day,n_reanchors,anchor_churn,well_registration_qc_pass,qc_note,row,column,common_crop
C06,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 9, 'x_stop': 2697}"
C06,PLD3_only_no_mCherry,12,488nm Binned,-46.0,-133.0,0.0029520026749986824,0.1834163677911541,0.9383309602033889,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 9, 'x_stop': 2697}"
C06,PLD3_only_no_mCherry,16,488nm Binned,-27.0,-39.0,0.008658621988207452,0.16099918324547005,0.9771154654155214,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 9, 'x_stop': 2697}"
C06,PLD3_only_no_mCherry,20,488nm Binned,-19.0,-153.0,0.003843631601860354,0.1256205701697535,0.9403813104345745,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 9, 'x_stop': 2697}"
C06,PLD3_only_no_mCherry,25,488nm Binned,80.19143620701652,8.952032123641402,0.00698900340763183,0.10885377746357601,0.9690051733674324,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 9, 'x_stop': 2697}"
C06,PLD3_only_no_mCherry,29,488nm Binned,56.19143620701652,-16.047967876358598,0.0050055803071655455,0.10153412441446265,0.9749215538861044,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 9, 'x_stop': 2697}"
C06,PLD3_only_no_mCherry,32,488nm Binned,498.7869052215319,-168.19906572708715,0.004912021387678137,0.2412080544135575,0.7776381772872167,,True,False,True,29,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 9, 'x_stop': 2697}"
C06,PLD3_only_no_mCherry,36,488nm Binned,-52.8068842724897,-180.9883188795502,0.007948612557774834,0.17584475987485237,0.9196433869633582,,True,False,False,29,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 9, 'x_stop': 2697}"
C06,PLD3_only_no_mCherry,39,488nm Binned,867.7288272201549,-137.03298523715785,0.005238245368951248,0.21215452024813766,0.6641207302435403,,True,True,True,36,2,0.25,True,anchored_masked_phase_cross_correlation,C,06,"{'y_start': 573, 'y_stop': 2815, 'x_start': 9, 'x_stop': 2697}"
C13,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,13,"{'y_start': 476, 'y_stop': 2742, 'x_start': 6, 'x_stop': 2696}"
C13,PLD3_only_no_mCherry,12,488nm Binned,-113.0,-136.0,-0.0008432175036414658,0.16374002809765537,0.9150482698521073,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,13,"{'y_start': 476, 'y_stop': 2742, 'x_start': 6, 'x_stop': 2696}"
C13,PLD3_only_no_mCherry,16,488nm Binned,-49.0,-43.0,0.005430438764644215,0.14944675312318192,0.968178053800023,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,13,"{'y_start': 476, 'y_stop': 2742, 'x_start': 6, 'x_stop': 2696}"
C13,PLD3_only_no_mCherry,20,488nm Binned,-101.0,-158.0,-0.0020664501070369237,0.10433209764212374,0.9116332483285968,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,13,"{'y_start': 476, 'y_stop': 2742, 'x_start': 6, 'x_stop': 2696}"
C13,PLD3_only_no_mCherry,25,488nm Binned,91.01862118328427,5.945158785758849,0.0005601597182092579,0.2901026601912046,0.9662569369316621,,True,False,True,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,13,"{'y_start': 476, 'y_stop': 2742, 'x_start': 6, 'x_stop': 2696}"
C13,PLD3_only_no_mCherry,29,488nm Binned,59.01862118328427,-17.05484121424115,0.007788744841431581,0.24405214294004918,0.9735974538281384,,True,False,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,13,"{'y_start': 476, 'y_stop': 2742, 'x_start': 6, 'x_stop': 2696}"
C13,PLD3_only_no_mCherry,32,488nm Binned,420.3954198954234,-169.14327378745656,-0.0007645720317091272,0.19735218749761246,0.8030873647515149,,True,False,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,13,"{'y_start': 476, 'y_stop': 2742, 'x_start': 6, 'x_stop': 2696}"
C13,PLD3_only_no_mCherry,36,488nm Binned,-125.35119083499012,-181.87588645136793,-0.0009439654688292014,0.1457444362681492,0.8956492821881976,,True,False,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,13,"{'y_start': 476, 'y_stop': 2742, 'x_start': 6, 'x_stop': 2696}"
