experiment,well,config,method,ref_mode,timepoint,true_dy,true_dx,est_dy,est_dx,abs_err_px,post_corr,reg_error,overlap,qc_pass
E1_baseline,0,stride2,A_cli,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E1_baseline,0,stride2,A_cli,anchored,1,0.626488209332539,2.240818880338871,-0.5,-2.1,0.18928609077279154,0.9911960734602099,0.9999999485298775,0.9864868164062499,True
E1_baseline,0,stride2,A_cli,anchored,2,-3.8509863207130355,-7.6674154184266055,4.1,7.800000000000001,0.2821107650250577,0.9991970876118474,0.9999999471997657,0.9388883463541666,True
E1_baseline,0,stride2,A_cli,anchored,3,1.2641919103895614,2.2258596744375545,-0.8,-2.1,0.48095195947270836,0.9990777203429798,0.9999998896213536,0.9849414062499999,True
E1_baseline,0,stride2,A_cli,anchored,4,5.84333466828129,2.45754438096653,-5.6,-2.2,0.3543174691643057,0.998378747263233,0.9999999193027792,0.9597092013888889,True
E1_baseline,0,stride2,A_cli,anchored,5,-4.896339659591682,-7.630676111873781,5.3,7.700000000000001,0.40956986203027174,0.9990228339764801,0.9999999397934282,0.9333987087673611,True
E1_baseline,0,stride2,A_cli,anchored,6,-2.091347067622241,-4.950269162225048,2.4,5.000000000000001,0.31263363365317576,0.9995531543554119,0.9999999377543942,0.9617838541666666,True
E1_baseline,0,stride2,A_cli,anchored,7,-4.608097427163688,6.3688384221642735,5.1,-6.299999999999999,0.4966959528011573,0.9982830601125425,0.9999999283731853,0.9414965820312501,True
E1_baseline,0,stride2,A_cli,anchored,8,3.9051956174327476,0.4162346306673186,-3.5,-0.3999999999999986,0.4055207166343167,0.9995974045816607,0.9999999517241049,0.9797254774305555,True
E1_baseline,0,stride3,A_cli,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E1_baseline,0,stride3,A_cli,anchored,1,0.626488209332539,2.240818880338871,-0.5,-2.1,0.18928609077279154,0.9911960734602099,0.9999999485298775,0.9864868164062499,True
E1_baseline,0,stride3,A_cli,anchored,2,-3.8509863207130355,-7.6674154184266055,3.9,7.8,0.14135420767786672,0.9936140753759007,0.9999999423475914,0.9398876953124999,True
E1_baseline,0,stride3,A_cli,anchored,3,1.2641919103895614,2.2258596744375545,-1.1999999999999997,-2.1000000000000005,0.1412843197562581,0.9994360371423086,0.9999999351839807,0.9828808593750001,True
E1_baseline,0,stride3,A_cli,anchored,4,5.84333466828129,2.45754438096653,-6.0,-2.3999999999999995,0.16689931678516398,0.9988711142811701,0.9999999474143523,0.9566406249999999,True
