well,condition,site_fov,timepoint_day,file_name,mcherry_channel,registration_channel,time_index,cell_roi_id,mask_source,cell_roi_area,total_mcherry_intensity,diffuse_mcherry_integrated_intensity,diffuse_mcherry_mean_intensity,punctate_mcherry_integrated_intensity,puncta_count,puncta_density_per_area,mean_puncta_intensity,median_puncta_area,diffuse_to_punctate_ratio,rupture_like_score,mcherry_metric_interpretation
E05,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,1014440,24013276.0,17174744.0,17.33959197998047,6838533.0,1104,0.001088285162255936,258.8167915067811,18.0,2.5114661287731574,2.5114661287731574,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E05,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,917328,21785264.0,16168031.0,18.049089431762695,5617234.0,957,0.0010432473444601678,228.11610101681893,17.0,2.8782904539844916,2.8782904539844916,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E05,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,964208,35466836.0,26578428.0,28.22984504699707,8888408.0,1030,0.001068234239913931,359.93624956445785,17.0,2.990234921708928,2.990234921708928,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
F05,PLD3_TMEM106B_mCherry_primary,site0,8,"260216_Day8_iNeurons_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,635890,13283091.0,10076704.0,16.233373641967773,3206387.0,656,0.001031624966580648,192.1473277487406,21.0,3.1426973724621696,3.1426973724621696,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
F05,PLD3_TMEM106B_mCherry_primary,site0,12,"260220_Day12_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,664614,10826853.0,8754644.0,13.489913940429688,2072209.0,664,0.0009990761554812282,113.16837514739439,18.0,4.224788136715831,4.224788136715831,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
F05,PLD3_TMEM106B_mCherry_primary,site0,16,"260224_day16_WellF05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0048.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,657474,12245055.0,9937679.0,15.481855392456055,2307376.0,656,0.0009977580862498019,130.35475525623414,18.0,4.306917901545172,4.306917901545172,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
