well,n_days,n_large_shifts,max_shift_px,median_shift_px,min_overlap_fraction,classification
L20,9,7,1393.0,966.3,0.5142956764295676,high_drift_or_erratic
I05,9,7,1383.5,546.3,0.5176080892608089,high_drift_or_erratic
C19,9,7,1366.8,479.0,0.5234309623430963,high_drift_or_erratic
F11,9,7,1366.1,1148.3,0.5236750348675036,high_drift_or_erratic
E10,9,7,1355.9,438.0,0.527231520223152,high_drift_or_erratic
M12,9,7,1341.7,808.8,0.5321827057182705,high_drift_or_erratic
H10,9,7,1341.2,336.8,0.5323570432357042,high_drift_or_erratic
E18,9,7,1332.7,334.4,0.535320781032078,high_drift_or_erratic
J10,9,7,1332.7,702.7,0.535320781032078,high_drift_or_erratic
M15,9,7,1330.1,766.4,0.5362273361227337,high_drift_or_erratic
F14,9,7,1327.2,263.4,0.5372384937238494,high_drift_or_erratic
H18,9,7,1326.0,243.5,0.5376569037656904,high_drift_or_erratic
E17,9,7,1325.4,597.7,0.5378661087866109,high_drift_or_erratic
N14,9,7,1320.8,549.5,0.5394700139470014,high_drift_or_erratic
I06,9,7,1316.8,930.2,0.5408647140864715,high_drift_or_erratic
G14,9,7,1303.6,616.0,0.5454672245467225,high_drift_or_erratic
C17,9,7,1302.4,703.3,0.5458856345885634,high_drift_or_erratic
I13,9,7,1300.5,439.1,0.5465481171548117,high_drift_or_erratic
C16,9,7,1294.3,434.1,0.5487099023709903,high_drift_or_erratic
H17,9,7,1294.2,579.3,0.548744769874477,high_drift_or_erratic
D18,9,7,1291.3,571.7,0.5497559274755928,high_drift_or_erratic
L07,9,7,1289.8,596.6,0.5502789400278941,high_drift_or_erratic
K13,9,7,1275.2,510.9,0.5553695955369595,high_drift_or_erratic
H20,9,7,1266.5,843.3,0.5584030683403068,high_drift_or_erratic
G17,9,7,1256.9,170.0,0.5617503486750348,high_drift_or_erratic
F17,9,7,1256.7,604.5,0.5618200836820083,high_drift_or_erratic
C11,9,7,1251.4,274.9,0.5636680613668061,high_drift_or_erratic
G19,9,7,1239.5,919.7,0.5678172942817294,high_drift_or_erratic
J12,9,7,1230.7,692.3,0.5708856345885633,high_drift_or_erratic
J09,9,7,1225.9,281.2,0.5725592747559275,high_drift_or_erratic
H16,9,7,1208.0,207.1,0.5788005578800558,high_drift_or_erratic
L09,9,7,1206.8,485.7,0.5792189679218969,high_drift_or_erratic
M10,9,7,1197.9,379.3,0.5823221757322176,high_drift_or_erratic
M08,9,7,1195.5,333.8,0.5831589958158996,high_drift_or_erratic
F15,9,7,1190.2,529.2,0.5850069735006973,high_drift_or_erratic
I09,9,7,1188.8,507.5,0.585495118549512,high_drift_or_erratic
G09,9,7,1183.1,549.8,0.5874825662482567,high_drift_or_erratic
J20,9,7,1182.5,543.9,0.5876917712691772,high_drift_or_erratic
C05,9,7,1150.1,226.8,0.5989888423988843,high_drift_or_erratic
M05,9,7,1146.0,279.9,0.600418410041841,high_drift_or_erratic
M07,9,7,1129.7,229.1,0.6061018131101813,high_drift_or_erratic
I10,9,7,1114.5,728.0,0.6114016736401674,high_drift_or_erratic
D09,9,7,1111.9,658.1,0.6123082287308228,high_drift_or_erratic
L11,9,7,1110.1,302.7,0.6129358437935845,high_drift_or_erratic
D19,9,7,1085.8,453.3,0.6214086471408647,high_drift_or_erratic
C13,9,7,1081.1,613.3,0.623047419804742,high_drift_or_erratic
E12,9,7,1077.7,745.2,0.6242329149232915,high_drift_or_erratic
H13,9,7,1073.5,512.6,0.625697350069735,high_drift_or_erratic
G16,9,7,1061.8,250.0,0.6297768479776849,high_drift_or_erratic
L05,9,7,1061.5,701.1,0.629881450488145,high_drift_or_erratic
D17,9,7,990.2,508.5,0.654741980474198,high_drift_or_erratic
F08,9,7,984.3,638.8,0.6567991631799164,high_drift_or_erratic
D11,9,7,980.8,484.5,0.6580195258019527,high_drift_or_erratic
I20,9,7,959.4,187.5,0.6654811715481171,high_drift_or_erratic
I17,9,7,934.4,465.9,0.6741980474198047,high_drift_or_erratic
N12,9,7,903.2,339.9,0.6850767085076708,high_drift_or_erratic
H11,9,7,897.2,274.0,0.6871687587168758,high_drift_or_erratic
L13,9,7,884.2,342.0,0.6917015341701533,high_drift_or_erratic
N13,9,7,851.9,351.5,0.7029637377963738,high_drift_or_erratic
C10,9,7,849.2,251.0,0.703905160390516,high_drift_or_erratic
C08,9,7,839.5,194.3,0.7072873082287309,high_drift_or_erratic
I19,9,7,792.4,356.8,0.7237099023709902,high_drift_or_erratic
M19,9,7,757.2,288.8,0.7359832635983264,high_drift_or_erratic
N11,9,6,1430.9,716.2,0.5010808926080892,high_drift_or_erratic
D13,9,6,1408.2,470.5,0.5089958158995815,high_drift_or_erratic
G08,9,6,1400.8,103.3,0.5115760111576012,high_drift_or_erratic
D07,9,6,1398.0,198.0,0.5125523012552301,high_drift_or_erratic
L10,9,6,1382.6,339.5,0.5179218967921897,high_drift_or_erratic
E06,9,6,1379.3,306.8,0.5190725244072525,high_drift_or_erratic
K19,9,6,1347.1,887.3,0.5302998605299861,high_drift_or_erratic
N15,9,6,1345.1,363.9,0.530997210599721,high_drift_or_erratic
