well,row,column,condition,site_fov,timepoint_day,file_name,mcherry_channel,registration_channel,time_index,cell_roi_id,mask_source,cell_roi_area,total_mcherry_intensity,diffuse_mcherry_integrated_intensity,diffuse_mcherry_mean_intensity,punctate_mcherry_integrated_intensity,puncta_count,puncta_density_per_area,mean_puncta_intensity,median_puncta_area,diffuse_to_punctate_ratio,rupture_like_score,mcherry_metric_interpretation
E11,E,11,PLD3_mCherry_reporter_control,site0,20,"260228_day20_WellE11_Channel405nm Binned,561nm Binned,488nm Binned_Seq0038.nd2",561nm Binned,488nm Binned,3,whole_field_foreground,stable_channel,133729,4372365.0,3245838.0,24.8563232421875,1126527.0,138,0.0010319377247939344,324.90565678693247,16.5,2.8812784780099534,2.8812784780099534,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E11,E,11,PLD3_mCherry_reporter_control,site0,25,"260305_day25_iNeurons_WellE11_Channel405nm Binned,561nm Binned,488nm Binned_Seq0038.nd2",561nm Binned,488nm Binned,4,whole_field_foreground,stable_channel,45711,1200507.0,941489.0,21.072765350341797,259018.0,64,0.0014001006322023122,232.0026923418045,14.0,3.6348400497122406,3.6348400497122406,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E11,E,11,PLD3_mCherry_reporter_control,site0,29,"260309_Day29_WellE11_Channel405nm Binned,561nm Binned,488nm Binned_Seq0038.nd2",561nm Binned,488nm Binned,5,whole_field_foreground,stable_channel,73361,2598823.0,1983835.0,27.661991119384766,614988.0,108,0.001472171862413651,338.7647839298955,11.0,3.2258109101263344,3.2258109101263344,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E11,E,11,PLD3_mCherry_reporter_control,site0,32,"260312_Day32_WellE11_Channel405nm Binned,561 nm,488nm Binned_Seq0038.nd2",561nm Binned,488nm Binned,6,whole_field_foreground,stable_channel,134217,6265499.0,4905912.0,37.37837600708008,1359587.0,199,0.0014826735808319163,417.0520287901912,13.0,3.6083840166141568,3.6083840166141568,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E11,E,11,PLD3_mCherry_reporter_control,site0,36,"260316_Day36_WellE11_Channel405nm Binned,561nm Binned,488nm Binned_Seq0038.nd2",561nm Binned,488nm Binned,7,whole_field_foreground,stable_channel,144494,8228823.0,6312900.0,44.698795318603516,1915923.0,202,0.0013979819231151604,525.6967666172745,13.0,3.2949654030964215,3.2949654030964215,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E11,E,11,PLD3_mCherry_reporter_control,site0,39,"260319_Day39_WellE11_Channel405nm Binned,561nm Binned,488nm Binned_Seq0038.nd2",561nm Binned,488nm Binned,8,whole_field_foreground,stable_channel,195465,9351594.0,7270133.0,38.05196762084961,2081461.0,278,0.0014222495075772018,425.58700671298897,13.0,3.4928028918132537,3.4928028918132537,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E10,E,10,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE10_Channel405nm Binned,561nm Binned,488nm Binned_Seq0037.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,230413,5674578.0,4047063.0,17.991344451904297,1627515.0,266,0.0011544487507165202,274.1003291768239,16.0,2.486651735927173,2.486651735927173,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E10,E,10,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE10_Channel405nm Binned,561nm Binned,488nm Binned_Seq0037.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,248388,5772813.0,4216847.0,17.38927459716797,1555966.0,271,0.0010910349936345918,233.3859601742227,16.0,2.7101151310486795,2.7101151310486795,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E10,E,10,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE10_Channel405nm Binned,561nm Binned,488nm Binned_Seq0037.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,240641,8521547.0,6347459.0,27.008394241333008,2174088.0,269,0.0011178477483009218,345.8005352942031,14.0,2.9195961708988234,2.9195961708988234,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E10,E,10,PLD3_mCherry_reporter_control,site0,20,"260228_day20_WellE10_Channel405nm Binned,561nm Binned,488nm Binned_Seq0037.nd2",561nm Binned,488nm Binned,3,whole_field_foreground,stable_channel,290373,10259646.0,7627753.0,26.89739990234375,2631893.0,343,0.0011812393025481666,357.66575119863796,15.0,2.898200268778823,2.898200268778823,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E10,E,10,PLD3_mCherry_reporter_control,site0,25,"260305_day25_iNeurons_WellE10_Channel405nm Binned,561nm Binned,488nm Binned_Seq0037.nd2",561nm Binned,488nm Binned,4,whole_field_foreground,stable_channel,183405,5662184.0,4569521.0,25.4585018157959,1092663.0,275,0.0014994138654807697,248.44325927734374,11.0,4.182003966452436,4.182003966452436,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E10,E,10,PLD3_mCherry_reporter_control,site0,29,"260309_Day29_WellE10_Channel405nm Binned,561nm Binned,488nm Binned_Seq0037.nd2",561nm Binned,488nm Binned,5,whole_field_foreground,stable_channel,241260,9807410.0,7661742.0,32.489925384521484,2145668.0,354,0.0014672966923590014,361.90144555043366,13.0,3.570795668293711,3.570795668293711,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E10,E,10,PLD3_mCherry_reporter_control,site0,32,"260312_Day32_WellE10_Channel405nm Binned,561 nm,488nm Binned_Seq0037.nd2",561nm Binned,488nm Binned,6,whole_field_foreground,stable_channel,254192,12863220.0,10168907.0,40.898773193359375,2694313.0,387,0.0015224712028642819,446.38832640339854,12.0,3.774211459468973,3.774211459468973,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E10,E,10,PLD3_mCherry_reporter_control,site0,36,"260316_Day36_WellE10_Channel405nm Binned,561nm Binned,488nm Binned_Seq0037.nd2",561nm Binned,488nm Binned,7,whole_field_foreground,stable_channel,247512,13142915.0,10215535.0,42.218360900878906,2927380.0,351,0.0014181130611791827,477.6477903708433,13.0,3.4896511556396885,3.4896511556396885,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E10,E,10,PLD3_mCherry_reporter_control,site0,39,"260319_Day39_WellE10_Channel405nm Binned,561nm Binned,488nm Binned_Seq0037.nd2",561nm Binned,488nm Binned,8,whole_field_foreground,stable_channel,347668,16566593.0,12436457.0,36.61302947998047,4130136.0,477,0.001371998573347642,460.329386329251,13.0,3.0111495117829024,3.0111495117829024,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E12,E,12,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE12_Channel405nm Binned,561nm Binned,488nm Binned_Seq0039.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,244296,5666487.0,4007404.0,16.80521011352539,1659083.0,256,0.0010479090938818158,258.95301911234856,19.0,2.4154331037070387,2.4154331037070387,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E12,E,12,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE12_Channel405nm Binned,561nm Binned,488nm Binned_Seq0039.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,228003,5104465.0,3714252.0,16.68464469909668,1390213.0,232,0.0010175304710858298,222.41646145130025,17.0,2.6717143344202134,2.6717143344202134,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
