well,condition,timepoint_day,registration_channel,estimated_y_shift,estimated_x_shift,pre_registration_correlation,post_registration_correlation,overlap_fraction,registration_error,qc_pass,qc_note,row,column,common_crop
C09,PLD3_only_no_mCherry,25,488nm Binned,0.0,-1426.9,0.009340637140816718,-0.0017991031767473488,0.5024755927475593,0.9999999999999918,True,phase_cross_correlation_on_stable_channel,C,09,"{'y_start': 659, 'y_stop': 2426, 'x_start': 1221, 'x_stop': 1441}"
C09,PLD3_only_no_mCherry,29,488nm Binned,88.1,0.0,0.007513478673872394,0.02064047053335192,0.9692817294281729,0.9999999999999872,True,phase_cross_correlation_on_stable_channel,C,09,"{'y_start': 659, 'y_stop': 2426, 'x_start': 1221, 'x_stop': 1441}"
C09,PLD3_only_no_mCherry,32,488nm Binned,0.0,1220.6,-0.004083413723821522,0.0005687799744421385,0.5744072524407252,0.9999999999999923,True,phase_cross_correlation_on_stable_channel,C,09,"{'y_start': 659, 'y_stop': 2426, 'x_start': 1221, 'x_stop': 1441}"
C09,PLD3_only_no_mCherry,36,488nm Binned,0.0,-408.4,-0.0002241305785449395,0.002648754172716639,0.8576011157601116,0.9999999999999909,True,phase_cross_correlation_on_stable_channel,C,09,"{'y_start': 659, 'y_stop': 2426, 'x_start': 1221, 'x_stop': 1441}"
C09,PLD3_only_no_mCherry,39,488nm Binned,0.0,-117.0,0.00015073859292976833,0.005168359208501544,0.9592050209205021,0.9999999999999941,True,phase_cross_correlation_on_stable_channel,C,09,"{'y_start': 659, 'y_stop': 2426, 'x_start': 1221, 'x_stop': 1441}"
C06,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,06,"{'y_start': 321, 'y_stop': 1959, 'x_start': 422, 'x_stop': 1737}"
C06,PLD3_only_no_mCherry,12,488nm Binned,-687.3,0.0,0.0035694877752772236,0.018067278615967703,0.7603556485355648,0.9999999999999806,True,phase_cross_correlation_on_stable_channel,C,06,"{'y_start': 321, 'y_stop': 1959, 'x_start': 422, 'x_stop': 1737}"
C06,PLD3_only_no_mCherry,16,488nm Binned,0.0,-1042.0,0.00901849208117491,-0.003695738361132646,0.6366806136680614,0.9999999999999898,True,phase_cross_correlation_on_stable_channel,C,06,"{'y_start': 321, 'y_stop': 1959, 'x_start': 422, 'x_stop': 1737}"
C06,PLD3_only_no_mCherry,20,488nm Binned,321.0,0.0,0.007445966395750471,-0.0023820290251559658,0.8880753138075314,0.9999999999999765,True,phase_cross_correlation_on_stable_channel,C,06,"{'y_start': 321, 'y_stop': 1959, 'x_start': 422, 'x_stop': 1737}"
C06,PLD3_only_no_mCherry,25,488nm Binned,-909.0,0.0,0.0077579843926828046,0.011482281303899266,0.6830543933054394,0.9999999999999623,True,phase_cross_correlation_on_stable_channel,C,06,"{'y_start': 321, 'y_stop': 1959, 'x_start': 422, 'x_stop': 1737}"
